Region;Name;PointsNumber;BendNumber;AveAngle;TotalArea;Length;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ВОРОНЕЖ200;hddlin200.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ500;hddlin500.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ1000;hddlin1000.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ200;hdrlin200.shp;44979;17060;25;1811178015;10314031;1078;975;145;979;106290;5597;3,027;0,336;5597;
ВОРОНЕЖ200;hdrlin200clip.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ500;hdrlin500clip.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ1000;hdrlin1000.shp;10399;4205;22;3470932369;5946998;3069;2779;410;2789;827595;483;3,135;0,348;483;
ВОРОНЕЖ1000;hdrlin1000clip.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ200;hdtlin200.shp;4115;285;44;23583502;613763;823;564;152;617;82749;1761;2,974;0,198;1761;
ВОРОНЕЖ500;hdtlin500.shp;238;37;13;11452193;69394;1855;1582;196;1625;369426;86;3,209;0,214;86;
ВОРОНЕЖ1000;hdtlin1000.shp;8;1;14;8905327;8407;8407;6956;2053;6956;8905327;1;15;1;1;
ВОРОНЕЖ500;hrdlin500.shp;23074;8703;17;5330636211;8107037;2544;2345;302;2349;616330;1006;3,095;0,344;1006;
ВОРОНЕЖ200;piplin200.shp;1694;720;16;2938580999;1578357;8493;8185;586;8194;4092731;177;3,141;0,262;177;
ГРОЗНЫЙ200;piplin200.shp;6652;2671;14;12973168446;4948132;6501;6302;456;6305;4915941;796;3,024;0,252;796;
МОСКВА200;piplin200.shp;4056;2011;16;3152027055;3315570;5515;5341;405;5342;1568173;203;3,084;0,257;203;
ПЕТРОЗАВОДСК200;piplin200.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
РОСТОВ-ДОН200;piplin200.shp;4929;1964;17;6795954799;4847706;8800;8571;475;8575;3501265;840;3,024;0,252;840;
САЛЕХАРД200;piplin200.shp;317;164;11;1322780830;526667;12532;12243;870;12243;8065737;19;3,947;0,329;19;
СУРГУТ200;piplin200.shp;4011;1606;13;9261771609;3237508;8040;7629;758;7631;5770574;208;3,091;0,258;208;
УСТЮГ200;piplin200.shp;23;13;13;50485557;46338;11287;11153;492;11153;3883504;2;7,5;0,625;2;
УФА200;piplin200.shp;4239;2009;14;4621824147;3711804;6479;6318;399;6319;2321358;403;3,047;0,254;403;
ВОРОНЕЖ500;piplin500.shp;863;411;17;3469709877;1240027;12277;11828;963;11834;8567185;32;3,469;0,289;32;
ГРОЗНЫЙ500;piplin500.shp;823;353;13;7043609309;1943206;19073;18463;1372;18469;20416259;64;3,344;0,279;64;
МОСКВА500;piplin500.shp;1834;984;19;3906895052;2495117;7918;7593;685;7595;4103881;52;3,269;0,272;52;
ПЕТРОЗАВОДСК500;piplin500.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
РОСТОВ-ДОН500;piplin500.shp;1322;682;14;5594368998;2497436;15849;15495;789;15501;8251282;55;3,418;0,285;55;
САЛЕХАРД500;piplin500.shp;76;48;8;265619086;120976;11417;11254;607;11254;5651470;4;6;0,5;4;
СУРГУТ500;piplin500.shp;833;375;17;6370445316;1481096;13920;13227;1312;13236;17124853;19;3,895;0,325;19;
УСТЮГ500;piplin500.shp;24;16;8;73949276;40810;13088;12900;657;12900;4621830;1;12;1;1;
УФА500;piplin500.shp;993;486;11;5657032899;1639636;15612;15229;970;15230;11736583;40;3,5;0,292;40;
ВОРОНЕЖ1000;piplin1000.shp;1103;546;7;3100094762;857773;12379;12098;678;12098;5688247;17;3,882;0,324;17;
ГРОЗНЫЙ1000;piplin1000.shp;634;309;8;8426225964;1118615;22216;21494;1516;21494;27269340;46;3,261;0,272;46;
МОСКВА1000;piplin1000.shp;2373;1294;12;3725191169;1642382;8373;8213;426;8213;2878819;53;3,226;0,269;53;
ПЕТРОЗАВОДСК1000;piplin1000.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
РОСТОВ-ДОН1000;piplin1000.shp;956;483;9;5561025868;1673165;19240;18935;852;18937;11513511;56;3,196;0,266;56;
САЛЕХАРД1000;piplin1000.shp;215;98;10;9169522579;651000;27559;26196;2902;26196;93566557;9;4,222;0,352;9;
СУРГУТ1000;piplin1000.shp;1117;590;12;5198178840;1497459;12304;11936;882;11936;8810473;52;3,231;0,269;52;
УСТЮГ1000;piplin1000.shp;21;7;11;153558339;49062;15102;14468;1579;14468;21936906;1;12;1;1;
УФА1000;piplin1000.shp;819;391;9;9422402668;1755283;21113;20677;1297;20677;24098217;61;3,197;0,266;61;
ВОРОНЕЖ200;rdclin200.shp;698;172;12;247698280;254927;2637;2476;273;2476;1440106;191;3,34;0,239;191;
ГРОЗНЫЙ200;rdclin200.shp;664;172;10;211631397;430516;7204;7024;332;7033;1230415;134;3,515;0,251;134;
МОСКВА200;rdclin200.shp;3107;946;14;314806353;1140491;2009;1927;154;1931;333481;744;3,132;0,224;744;
ПЕТРОЗАВОДСК200;rdclin200.shp;1589;506;12;98286771;537092;1887;1845;116;1845;194243;357;3,165;0,226;357;
РОСТОВ-ДОН200;rdclin200.shp;1334;233;13;96948275;590597;3059;2965;189;2967;419690;461;3,221;0,23;461;
