Region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
МОСКВА500;rlfpol500.shp;67;7781450;19664;2593817;6555;3;5,667;0,63;3;
ПЕТРОЗАВОДСК500;rlfpol500.shp;68;5425298;18487;2712649;9244;2;6,5;0,722;2;
РОСТОВ-ДОН500;rlfpol500.shp;8;115958;1321;115958;1321;1;9;1;1;
САЛЕХАРД500;rlfpol500.shp;6735;132503853260;12812953;8833590217;854197;15;4,4;0,489;15;
СУРГУТ500;rlfpol500.shp;0;0;0;0;0;0;0;0;0;
УСТЮГ500;rlfpol500.shp;0;0;0;0;0;0;0;0;0;
УФА500;rlfpol500.shp;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ1000;rlfpol1000.shp;0;0;0;0;0;0;0;0;0;
ГРОЗНЫЙ1000;rlfpol1000.shp;1951;706793781;629371;20788052;18511;34;4,147;0,461;34;
МОСКВА1000;rlfpol1000.shp;0;0;0;0;0;0;0;0;0;
ПЕТРОЗАВОДСК1000;rlfpol1000.shp;0;0;0;0;0;0;0;0;0;
РОСТОВ-ДОН1000;rlfpol1000.shp;0;0;0;0;0;0;0;0;0;
САЛЕХАРД1000;rlfpol1000.shp;0;0;0;0;0;0;0;0;0;
СУРГУТ1000;rlfpol1000.shp;0;0;0;0;0;0;0;0;0;
УСТЮГ1000;rlfpol1000.shp;0;0;0;0;0;0;0;0;0;
УФА1000;rlfpol1000.shp;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ500;vegpol500.shp;22300;12321721109;7870232;17602459;11243;700;4,011;0,446;700;
ВОРОНЕЖ500;vegpol500clip.shp;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ1000;vegpol1000.shp;6320;8334348164;3629608;62664272;27290;133;4,045;0,449;133;
ВОРОНЕЖ1000;vegpol1000clip.shp;0;0;0;0;0;0;0;0;0;
